Article Title,Author,Journal Title,International,Subjects,Keywords,text
Abstracts.,,Politique Étrangère,1,INTERNATIONAL relations; NUCLEAR energy; IRAN; CENTRAL Europe; FOOD,,"The article presents abstracts on several topics including foreign policies of Central European countries, nuclear capability of Iran and food problems in Southern Asia and African countries."
Abstracts.,,Zeitschrift für Politikwissenschaft,1,POLITICAL campaigns; ELECTION law; GERMANY -- Politics & government,,"The article presents abstracts on topics related to German politics which include election campaigns, electoral law and political parties."
Abstracts.,,"French Politics, Culture & Society",1,"FRANCE; ALGERIA; FRENCH Revolution, 1789-1799; FRENCH-Algerian War, 1954-1962; FRENCH studies",,"The article presents abstracts on topics of French studies which include the status of Algerian French veterans after the Algerian War of Independence, a comparative study of the administration of criminal justice for rape in France, England, and Wales, and the French Revolution analyzed using the theories of American historian Charles Tilly."
Abstracts.,,Zeitschrift für Politikwissenschaft,1,POLITICAL science; FINANCING of public broadcasting; CROSS-sectional method; VOTING research; DECISION making; GERMANY; GERMANY. Bundestag; EMPLOYEES,,"The article presents a section of English-language abstracts for the April 2013 issue of the political science journal ""Zeitschrift für Politikwissenschaft"". Topics of abstracts include a January 1, 2013 change in the fee structure of the public broadcasting systems of German states, the role of personal characteristics in the decision-making of members of the Bundestag (upper house of German Parliament), and the rolling-cross-section method of voting behavior analysis."
Abstracts.,,Zeitschrift für Internationale Beziehungen (ZIB),1,SOCIAL sciences; GERMANY; PERIODICAL articles; PERIODICAL editors,,"The article presents abstracts of the items published in the volume, including ""Liberal Democracies at and War,"" by Anna Geis, Harald Müller, and Niklas Schörnig, ""Parlamentary Veto or Executive Discretion?,"" by Dirk Peters and Wolfgang Wagner, and ""Theory of Global Public Goods,"" by Alexander Kocks."
Abstracts.,,Soziale Systeme,1,"WORLD politics; SOCIAL theory; SOCIOLOGY periodicals; VISUAL communication; KANT, Immanuel, 1724-1804 -- Political & social views",,"Abstracts for the March 2012 issue of the sociology journal ""Soziale Systeme"" are presented. The article provides abstracts concerning statistical models of international political differentiation, the use of visual media in the iconicising of social theories, and Immanuel Kant's philosophy concerning the appearance of the world."
Abstracts.,,SIPRI Yearbook,1,INTERNATIONAL security; ARMS transfers; NATURAL resources; WAR,,"The article presents abstracts on international security, including the contribution of arms trade to global incidents of corruption, re-emergence of natural resources as a key element in conflict risk, and reducing security threats from chemical and biological materials."
Abstracts.,,International Affairs,0,INTERNATIONAL relations; INFORMATION warfare; INTERNATIONAL organization; INTERNATIONAL agencies; REGIONALISM,,
Abstracts.,,Osteuropa,1,NATIONAL security; INTERNATIONAL relations; EUROPE; NORTH Atlantic Treaty Organization,,"The article presents abstracts on security policy in Europe, including ""A Big This-As-Well-As-That U.S. European Policy Under Barack Obama,"" by Daniel Hamilton, ""Dual Strategic Indecision: The United States, NATO, Russia, and European Security,"" by Hans-Joachim Spanger, and ""A Lost Cause? The Future of the OSCE in the European Security System,"" by Andrei Zagorskii."
Abstracts.,,Osteuropa,1,"CIVIL society; NATION-state; RUSSIA; ECONOMIC conditions in Russia, 1991-; RUSSIAN history, 1991-",,"The article presents abstracts of researches, including ""Russia's Path of Development: From Empire to Nation-State,"" by Dmitri Furman, ""Russia at the Dead End: Stagnation, Apathy, Decline,"" by Lev Gudkov, and ""In a Jam: Russian Civil Society,"" by Dennis Volkov."
Abstracts.,,Politique Étrangère,1,"SEPTEMBER 11 Terrorist Attacks, 2001; ARAB-Israeli conflict; DEMOCRACY; MUSLIMS; DECISION making; UNITED States; UNITED States -- Politics & government -- 2009-2017",,"The article presents abstracts on political topics including the effect of the 9/11 terrorist attack in the Israeli-Palestinian situation by Jalal Al Husseini, democratic deficiency in the Arab-Muslim sphere by Marc Crapez, and impact of the 9/11 terrorist attack on the decision-making at the White House by Charles-Philippe David."
Abstracts.,,Osteuropa,1,EASTERN Europe; GERMANY; PHILOLOGY; EASTERN European history; EAST Europeans,,"The article presents abstracts on East European research such as German East European Studies, philology prospects for literary Slavonic studies, and East European history."
Abstracts.,,Zeitschrift für Politikwissenschaft,1,POLITICIANS; VOTING; EUROPEAN Central Bank,,"The article presents abstracts on topics which include the European Central Bank (ECB), politicians, and approval voting."
Abstracts.,,Comparative Politics,0,VOTER intimidation; DEMOCRACY; POSTCOLONIALISM,,"The article presents abstracts of articles published within the issue, including ""Explaining Divergent Revolutionary Coalitions: Regime Strategies and the Structuring of Participation in the Tunisian and Egyptian Revolution,"" ""The Production of Electoral Intimidation: Economic and Political Incentives"" and ""Literacy and Democracy Despite Slavery: Forced Settlement and Postcolonial Outcomes in the Developing World."""
Abstracts.,,Vereinte Nationen,1,INTERNATIONAL law; INTERNATIONAL obligations; PUBLIC law; GERMANY; UNITED Nations,,"The article presents abstracts on Germany including the role of Germany in developing international law, the membership of Germany in United Nations and the German Democratic Republic as the United Nations member."
Abstracts.,,Comparative Politics,0,AUTHORITARIANISM; RIGHT & left (Political science); TRANSACTION costs,,"The article presents abstracts on comparative politics including the transaction costs of repression in South Africa, Kenya and Egypt, the relationship between victorious insurgent groups and authoritarian politics, and policy outcomes under the Left in Latin America."
Abstracts.,,Neue Soziale Bewegungen,1,ECONOMICS; SOUTH Africa; SPORTS; SOCCER tournaments; FIFA World Cup; SOCCER,,"German and English abstracts are presented of articles in this issue that deal with such topics as the ruling German party coalition, the cost of the World Cup soccer staging in South Africa, and the commercialization of German soccer."
Abstracts.,,Osteuropa,1,"PUBLIC opinion; PUTIN, Vladimir Vladimirovich, 1952-",,"The article presents abstracts on Eastern European political topics which include Russian President Vladimir Putin's ratings and Russian society, neo-Soviet radicalism on popular radio, and economic sanctions against Russia."
Abstracts.,,Global Environmental Politics,0,SUMMIT meetings; WATER supply; POLITICS & war; ENVIRONMENTALISM,,"The article presents abstracts on political topics which include the disenfranchisement of countries and civil society at the COP-15 summit in Copenhagen, Denmark, the risks of war over water resources, and the politics of unilateral environmentalism."
Abstracts.,,Politica: Tidsskrift for Politisk Videnskab,1,POLITICAL science; BUDGET; GLOBALIZATION; DIGITAL computer simulation,,"The article presents abstracts related to political science and globalization including the use of digital computer simulations in investigating theory of political science, agreements over state budgets in Sweden, Norway, and Denmark, and the response of the Russian state to globalization."
Abstracts.,,Neue Soziale Bewegungen,1,ELECTORAL coalitions; ECONOMICS; SOUTH Africa; GERMANY; FIFA World Cup; GERMANY -- Politics & government -- 1990-,,"German and English abstracts are presented of articles in this issue that deal with such topics as the ruling German party coalition, the cost of the World Cup soccer staging in South Africa, and the commercialization of German soccer."
Abstracts.,,Revue d'Études Comparatives Est-Ouest,1,RURAL development; RURAL development projects; EASTERN Europe; GERMANY (East); HUNGARY; CZECH Republic; LITHUANIA; EUROPEAN Union countries,,"The article presents abstracts on the implementation of the European Union program for rural development, LEADER, in Eastern European countries, its implications for local governance in Eastern Germany, Hungary, and the Czech Republic, and the fostering of rural development in Lithuania."
Abstracts.,,Rivista di Studi Politici Internazionali,1,"JIHAD; PAKISTAN; RUSSIA; LENZI, Guido; CHAUDET, Didier; VEDOVATO, Giuseppe",,"The article presents abstracts for several articles including ""The two-headed Russian eagle, European partner or outsider?"" by Guido Lenzi, ""La crisi di Suez del 1956"" by Giuseppe Vedovato, and ""Jihadism and instability in Pakistan: an analysis"" by Didier Chaudet."
Abstracts.,,International Affairs,0,"DISENGAGEMENT (Military science); NEOLIBERALISM; INTERNATIONAL relations; IRAQ War, 2003-2011",,"The article presents abstracts on articles concerned with international affairs, including the withdrawal of U.S. forces from the war in Iraq, the effects of neo-liberalism in Iraq, and the state of the U.S. following the Iraq War."
Abstracts.,,International Affairs,0,"MILITARY policy; UNITED States; FOREIGN relations of the United States -- 21st century; OBAMA, Barack, 1961-; BUSH, George W. (George Walker), 1946-",,"Abstracts are presented for articles in the current issue ""Pragmatism or what? The future of US foreign policy,"" ""Bush, Obama and a faith-based US foreign policy,"" and ""Over-promising and under-delivering? Ambitions and risks in US defence strategy."""
